id,name,category,image_path,description
2a400bb5-84a1-4fcd-a088-43ae0535d0d7,Image 21,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_21.jpg,accessories piece called Image 21
d7c2ff47-7ea3-48d5-a9cd-0a83cd562138,Image 22,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_22.png,accessories piece called Image 22
8746f945-8f7d-4a79-8f90-0009ac1f200c,Image 23,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_23.jpg,accessories piece called Image 23
0686cf8a-3655-4bb9-a9f7-62d8cfbb0ead,Image 24,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_24.jpg,accessories piece called Image 24
75b54bfa-1d07-4a23-8150-7956003fedca,Image 26,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_26.jpg,accessories piece called Image 26
d069d8d1-7715-49c0-9214-b3d0dc3bc2df,Image 27,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_27.jpg,accessories piece called Image 27
f268b499-51d3-4860-b769-e68cd2134e84,Image 28,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_28.jpg,accessories piece called Image 28
a3d5dfef-cea6-473e-908c-56e6356b44e7,Image 29,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_29.jpg,accessories piece called Image 29
b09576fd-e735-4c56-bb59-3c7c012baa11,Image 3,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_3.jpg,accessories piece called Image 3
a51d62ba-2cfa-4925-b7b1-0bfa63b430c0,Image 30,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_30.jpg,accessories piece called Image 30
d4975414-c7c8-4236-b419-281b57fa4618,Image 31,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_31.jpg,accessories piece called Image 31
97747c2c-a9a7-4f83-a358-a844bde9bdd2,Image 32,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_32.webp,accessories piece called Image 32
4bdc40ab-3eea-4f06-a0d9-b14b15a0a995,Image 33,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_33.jpg,accessories piece called Image 33
11a2b6a7-70d1-4385-bd45-7c0a09200ea9,Image 34,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_34.jpg,accessories piece called Image 34
08431157-ee91-4af2-9d4b-b62ea5c0a515,Image 35,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_35.webp,accessories piece called Image 35
a066d0ca-1f8f-4938-9c28-db75589d9db6,Image 36,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_36.png,accessories piece called Image 36
04bcaf4c-9a8d-4216-a87e-b54bdb0acfe6,Image 37,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_37.jpg,accessories piece called Image 37
6709a6c5-2c28-4ead-999d-6dda1d6bf423,Image 38,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_38.webp,accessories piece called Image 38
47f078b0-ebf5-4fa7-8ac9-65f0dc8b8c4b,Image 39,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_39.jpg,accessories piece called Image 39
f38ea4b0-eace-4f23-b6a1-e6dffcc1ac08,Image 4,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_4.jpg,accessories piece called Image 4
53b19db9-fa8d-4ec1-810e-7318eab0cef1,Image 40,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_40.jpg,accessories piece called Image 40
fe34d11c-7a96-4135-8c88-5283edc92545,Image 41,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_41.jpg,accessories piece called Image 41
40daa6dd-e2a6-4783-89bf-e16d35c5e95f,Image 42,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_42.jpg,accessories piece called Image 42
58f91480-cbb2-4fe7-897b-8f64caff9d99,Image 43,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_43.jpg,accessories piece called Image 43
c3256ab5-08ba-42bb-97ef-87e5a863beeb,Image 44,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_44.webp,accessories piece called Image 44
cca62048-6a25-4eb0-ab72-bf93841e0d95,Image 45,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_45.jpg,accessories piece called Image 45
b940ce5a-9c35-49b1-ac86-7ef141c44e64,Image 46,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_46.jpg,accessories piece called Image 46
82523693-f54d-4958-ab14-e14a6c91ceb8,Image 47,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_47.jpg,accessories piece called Image 47
98c472ca-e27c-4f11-9245-4300bc7e2e73,Image 48,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_48.jpg,accessories piece called Image 48
47ad19c8-85f6-430f-a575-925330eee824,Image 49,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_49.jpg,accessories piece called Image 49
25bdc96d-7f81-4b8d-8391-9dd93499e9a8,Image 5,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_5.jpg,accessories piece called Image 5
15209fb5-604f-4be3-9c2c-0461b14307c5,Image 50,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_50.jpg,accessories piece called Image 50
ffa246fe-3177-462c-a6af-98a4c4240733,Image 51,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_51.webp,accessories piece called Image 51
1e4095c9-4d38-4c56-92bb-1284fba1e498,Image 52,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_52.jpg,accessories piece called Image 52
46880e44-62f5-4a13-a6ee-a1ec64c86f26,Image 53,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_53.jpg,accessories piece called Image 53
805e8abb-442b-40d3-b6e1-45230f78991f,Image 54,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_54.jpg,accessories piece called Image 54
834406bc-aaf0-4e7e-9ce6-a483d8d20409,Image 55,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_55.png,accessories piece called Image 55
42fe21cd-8956-4ef1-9fee-b3cc0fd26e84,Image 56,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_56.jpg,accessories piece called Image 56
549d6da6-3e38-4d2d-a3bc-92da95724a24,Image 57,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_57.jpg,accessories piece called Image 57
6d83edf7-f9cd-4896-be62-ae932c0d0095,Image 58,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_58.jpg,accessories piece called Image 58
f7dd6a83-e4ef-47c3-afb9-da6a7c7e17d3,Image 59,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_59.jpg,accessories piece called Image 59
5874bd85-7a7b-4aa4-8f19-c5672a9a707f,Image 6,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_6.png,accessories piece called Image 6
a3e6934b-c72a-4598-8b0a-9b307ac8db18,Image 60,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_60.webp,accessories piece called Image 60
fdc1ace7-3cfb-4905-808b-66b5e9146488,Image 61,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_61.jpg,accessories piece called Image 61
2cccb4e1-164c-4168-b286-5df537c96716,Image 62,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_62.jpg,accessories piece called Image 62
5c430177-b1d1-4dab-ad1a-a9540bd62351,Image 63,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_63.png,accessories piece called Image 63
e7c4db61-c6b1-4e17-8b03-77ca1fae54e2,Image 64,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_64.png,accessories piece called Image 64
53326646-78b8-4c03-8b06-fbc89425d102,Image 65,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_65.jpg,accessories piece called Image 65
14192163-511d-44ca-ad78-e8a440782e23,Image 66,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_66.jpg,accessories piece called Image 66
e36bfa07-8b52-4b7b-afe6-c45bcce4c68f,Image 67,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_67.jpg,accessories piece called Image 67
93bdd154-0faa-4381-b2a4-a3d21c1f0b6c,Image 68,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_68.jpg,accessories piece called Image 68
bc84f573-d3a5-4d7b-a5af-054cb8944d82,Image 7,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_7.jpg,accessories piece called Image 7
4bb74c13-8b07-418d-a26d-e50897da1b07,Image 8,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_8.jpg,accessories piece called Image 8
51f3fad9-e406-4426-8361-96e1cd5526b7,Image 9,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_9.png,accessories piece called Image 9
43790fa8-7b46-4560-a44d-a9f45e013796,Black Faux Leather And Jacquard Laptop Bag Black Faux Leather And Jacquard Laptop Bag,bag,data\images\bags-20251116T220814Z-1-001\bags\Black_Faux_Leather_And_Jacquard_Laptop_Bag_Black_Faux_Leather_And_Jacquard_Laptop_Bag.jpg,bag piece called Black Faux Leather And Jacquard Laptop Bag Black Faux Leather And Jacquard Laptop Bag
22b76888-9087-4513-89d3-c2cfd9940f02,Image 1 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_1 (1).jpg,bag piece called Image 1 (1)
a0cd6f40-21d5-4213-9113-e7fbb25c97cb,Image 1,bag,data\images\bags-20251116T220814Z-1-001\bags\image_1.jpg,bag piece called Image 1
002c72e2-993a-4e15-bd89-249e3e22c2b0,Image 10 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_10 (1).jpg,bag piece called Image 10 (1)
a8d0d590-55ca-45cc-b3c1-d1d8489106cf,Image 10,bag,data\images\bags-20251116T220814Z-1-001\bags\image_10.jpg,bag piece called Image 10
fea06591-5044-4bb1-adc9-a0abc8437adf,Image 11 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_11 (1).jpg,bag piece called Image 11 (1)
b6f6eb8a-c2d7-42ed-82c3-3211c5ba1c34,Image 11,bag,data\images\bags-20251116T220814Z-1-001\bags\image_11.jpg,bag piece called Image 11
69fb45c3-6716-4857-a881-4f4830441fcc,Image 12 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_12 (1).jpg,bag piece called Image 12 (1)
1e695904-bfd1-45b4-83ed-cc2de50a5c1b,Image 12,bag,data\images\bags-20251116T220814Z-1-001\bags\image_12.jpg,bag piece called Image 12
bb3c863d-c170-4bc9-8b83-5478e8d31d3e,Image 13 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_13 (1).jpg,bag piece called Image 13 (1)
11462666-639a-4a33-9a3b-5cd9ff4a8cf9,Image 13,bag,data\images\bags-20251116T220814Z-1-001\bags\image_13.jpg,bag piece called Image 13
e0fdfb51-57c1-4116-8bea-c3bc8e1fe330,Image 14 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_14 (1).jpg,bag piece called Image 14 (1)
1c5bc33c-5128-4e22-b2b5-f17bca4c8008,Image 14,bag,data\images\bags-20251116T220814Z-1-001\bags\image_14.jpg,bag piece called Image 14
ab07a183-fbfc-4f22-bbc9-fc27bca2d72c,Image 15 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_15 (1).jpg,bag piece called Image 15 (1)
d6ab1add-4ea5-48a7-a409-68aaacd42619,Image 15,bag,data\images\bags-20251116T220814Z-1-001\bags\image_15.jpg,bag piece called Image 15
626e1d0a-d442-4d19-8814-9d1dce9837b2,Image 16 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_16 (1).jpg,bag piece called Image 16 (1)
db46acfb-4a26-4a94-baa0-1a07ff2e4b1f,Image 16,bag,data\images\bags-20251116T220814Z-1-001\bags\image_16.jpg,bag piece called Image 16
c4925dad-8bc8-4947-9eb6-a82d96f0e824,Image 17 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_17 (1).jpg,bag piece called Image 17 (1)
ab2cffa7-00d5-4b82-aac5-fbabc010db91,Image 17,bag,data\images\bags-20251116T220814Z-1-001\bags\image_17.jpg,bag piece called Image 17
822a7e91-dd9a-4851-a927-1873446bbc02,Image 18 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_18 (1).jpg,bag piece called Image 18 (1)
faddc8dc-9281-4f73-8dbb-bd6301a821eb,Image 18,bag,data\images\bags-20251116T220814Z-1-001\bags\image_18.jpg,bag piece called Image 18
5212f0a4-1d03-4d5c-a122-faeae82d49c8,Image 19 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_19 (1).jpg,bag piece called Image 19 (1)
620bab59-1253-4f63-a2d2-140d972be78d,Image 19,bag,data\images\bags-20251116T220814Z-1-001\bags\image_19.jpg,bag piece called Image 19
77e67b0a-c20b-4e5e-bd18-b2afcecdd619,Image 2 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_2 (1).jpg,bag piece called Image 2 (1)
faf0957b-586f-429e-a9e4-b19b7aea42a8,Image 2,bag,data\images\bags-20251116T220814Z-1-001\bags\image_2.jpg,bag piece called Image 2
37eaa71e-101a-4d54-a02d-96a6b368a2a5,Image 20 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_20 (1).jpg,bag piece called Image 20 (1)
276d2b9d-8413-4f49-893f-d1996e00d695,Image 20,bag,data\images\bags-20251116T220814Z-1-001\bags\image_20.jpg,bag piece called Image 20
957d74a5-fe5f-41ac-844c-f28674e26938,Image 21 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_21 (1).jpg,bag piece called Image 21 (1)
b843357d-f012-46b6-bf95-2a90a501f4a8,Image 21,bag,data\images\bags-20251116T220814Z-1-001\bags\image_21.jpg,bag piece called Image 21
0fd25e0b-7772-405d-9cf7-89e05f0807a5,Image 22 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_22 (1).jpg,bag piece called Image 22 (1)
94652d13-56c1-4874-9d6e-7cc228520263,Image 22,bag,data\images\bags-20251116T220814Z-1-001\bags\image_22.jpg,bag piece called Image 22
95de4a5c-0740-4d21-ac77-6b61e05a225b,Image 23 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_23 (1).jpg,bag piece called Image 23 (1)
3b337060-a4ca-452a-b1f2-40142b310791,Image 23,bag,data\images\bags-20251116T220814Z-1-001\bags\image_23.jpg,bag piece called Image 23
1615bd88-82cf-4384-b5b2-adadf1798c7e,Image 24 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_24 (1).jpg,bag piece called Image 24 (1)
69cdce34-c5a8-490f-a666-d80e6a118057,Image 24,bag,data\images\bags-20251116T220814Z-1-001\bags\image_24.jpg,bag piece called Image 24
46dc657d-4e2a-4b86-91fe-2e559aec2800,Image 25 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_25 (1).jpg,bag piece called Image 25 (1)
4cf6d043-279f-4af5-a1e0-891211df8e8a,Image 25,bag,data\images\bags-20251116T220814Z-1-001\bags\image_25.jpg,bag piece called Image 25
4a64a285-db69-47e7-850d-5120e3fb6b35,Image 26 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_26 (1).jpg,bag piece called Image 26 (1)
75d77ea8-550a-457c-862b-c6fbb4e374a2,Image 26,bag,data\images\bags-20251116T220814Z-1-001\bags\image_26.jpg,bag piece called Image 26
cb8ed3d0-7cbf-4798-9d81-a54aafc74494,Image 27 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_27 (1).jpg,bag piece called Image 27 (1)
976c3247-0426-4f75-b669-ff99d1c6df88,Image 27,bag,data\images\bags-20251116T220814Z-1-001\bags\image_27.jpg,bag piece called Image 27
48e3db8c-0912-41df-81a7-1816aa4c808f,Image 28,bag,data\images\bags-20251116T220814Z-1-001\bags\image_28.jpg,bag piece called Image 28
acfd0989-a208-429d-b702-00eeb4650e55,Image 29,bag,data\images\bags-20251116T220814Z-1-001\bags\image_29.jpg,bag piece called Image 29
f881667c-b75c-4700-b7ba-a5252fda0184,Image 3 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_3 (1).jpg,bag piece called Image 3 (1)
fc7e1a98-9331-4efa-bd36-7d0cf6b156fd,Image 3,bag,data\images\bags-20251116T220814Z-1-001\bags\image_3.jpg,bag piece called Image 3
809498fb-f6a0-4094-ae9f-b832f099298d,Image 30,bag,data\images\bags-20251116T220814Z-1-001\bags\image_30.jpg,bag piece called Image 30
c80daf73-d6c6-47bc-bde4-ad9629d1e9fc,Image 31,bag,data\images\bags-20251116T220814Z-1-001\bags\image_31.jpg,bag piece called Image 31
df1c1e98-1286-4374-9d04-fe607916aeaa,Image 32,bag,data\images\bags-20251116T220814Z-1-001\bags\image_32.jpg,bag piece called Image 32
671301dc-f4ad-4005-ade0-68db9f96b347,Image 33,bag,data\images\bags-20251116T220814Z-1-001\bags\image_33.jpg,bag piece called Image 33
964071aa-cf9c-4e86-8c77-f772e3a0f464,Image 34,bag,data\images\bags-20251116T220814Z-1-001\bags\image_34.jpg,bag piece called Image 34
f60fd30f-6804-42c8-8d54-45f9d2d8b366,Image 35,bag,data\images\bags-20251116T220814Z-1-001\bags\image_35.jpg,bag piece called Image 35
48ec994d-7716-4464-a985-515c554e9859,Image 36,bag,data\images\bags-20251116T220814Z-1-001\bags\image_36.jpg,bag piece called Image 36
17a1facd-757b-46de-a292-a55ee1ff5620,Image 37,bag,data\images\bags-20251116T220814Z-1-001\bags\image_37.jpg,bag piece called Image 37
92e60e2d-8532-4305-8809-b876df5aa866,Image 38,bag,data\images\bags-20251116T220814Z-1-001\bags\image_38.jpg,bag piece called Image 38
2324b059-62fa-4209-a91c-08526f71ac35,Image 39,bag,data\images\bags-20251116T220814Z-1-001\bags\image_39.jpg,bag piece called Image 39
917f9800-de8d-4963-9d53-0ee21cdb23c2,Image 4 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_4 (1).jpg,bag piece called Image 4 (1)
a84bdaae-df7b-4d5f-9a8a-c08f85cdc79e,Image 4,bag,data\images\bags-20251116T220814Z-1-001\bags\image_4.jpg,bag piece called Image 4
71f14567-d123-4938-91f1-7f171a760358,Image 40,bag,data\images\bags-20251116T220814Z-1-001\bags\image_40.jpg,bag piece called Image 40
3d4df0eb-088a-4fa6-949f-f5e28e1e9ff8,Image 41,bag,data\images\bags-20251116T220814Z-1-001\bags\image_41.jpg,bag piece called Image 41
0988bd17-2cd2-40a8-99e1-4c2744218298,Image 42,bag,data\images\bags-20251116T220814Z-1-001\bags\image_42.jpg,bag piece called Image 42
32b9a3f4-78b6-4615-b13d-5c784f849cde,Image 43,bag,data\images\bags-20251116T220814Z-1-001\bags\image_43.jpg,bag piece called Image 43
e5d91cb7-a12c-4ca9-8713-d78004a872ff,Image 44,bag,data\images\bags-20251116T220814Z-1-001\bags\image_44.jpg,bag piece called Image 44
8945efc3-b126-4a1c-a462-fc99b7a512fc,Image 5 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_5 (1).jpg,bag piece called Image 5 (1)
669bacfd-f002-444c-808d-ea7af3085e58,Image 5,bag,data\images\bags-20251116T220814Z-1-001\bags\image_5.jpg,bag piece called Image 5
777bd139-de7b-405f-9660-6833fca17b4b,Image 6 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_6 (1).jpg,bag piece called Image 6 (1)
e9420942-6664-4aa8-9754-a78c7a6f0036,Image 6,bag,data\images\bags-20251116T220814Z-1-001\bags\image_6.jpg,bag piece called Image 6
e2d991de-6bc0-470d-80e2-c288f7721df1,Image 7 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_7 (1).jpg,bag piece called Image 7 (1)
37c65323-8400-4c91-8376-17770cfe9dbe,Image 7,bag,data\images\bags-20251116T220814Z-1-001\bags\image_7.jpg,bag piece called Image 7
4174514b-3f2b-4d62-b4e2-70e9b7120ddd,Image 8 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_8 (1).jpg,bag piece called Image 8 (1)
9cd5cc3d-bb79-4c48-b873-3a654d31d6ce,Image 8,bag,data\images\bags-20251116T220814Z-1-001\bags\image_8.jpg,bag piece called Image 8
200b2b27-50b5-4ec0-ab55-d6f655e9e40a,Image 9 (1),bag,data\images\bags-20251116T220814Z-1-001\bags\image_9 (1).jpg,bag piece called Image 9 (1)
555ff65f-0f4b-488d-aeb0-e5e4f8b86b55,Image 9,bag,data\images\bags-20251116T220814Z-1-001\bags\image_9.jpg,bag piece called Image 9
52d40c70-34df-456e-a26a-e18289814d0b,Aadhila Indigo Solid Blue Flared Kalidar Palazzo Pants With Print Bord Aadhila Indigo Solid Blue Flared Kalidar Palazzo Pants With Print Border,bottom,data\images\bottoms-20251116T220814Z-1-001\bottoms\Aadhila_Indigo_Solid_Blue_Flared_Kalidar_Palazzo_Pants_With_Print_Bord_Aadhila_Indigo_Solid_Blue_Flared_Kalidar_Palazzo_Pants_With_Print_Border.jpg,bottom piece called Aadhila Indigo Solid Blue Flared Kalidar Palazzo Pants With Print Bord Aadhila Indigo Solid Blue Flared Kalidar Palazzo Pants With Print Border
bd31d653-2a57-448a-b216-044cd635dba6,Airi Floral Chintz Assymetrical Flared Palazzo Pants Airi Floral Chintz Assymetrical Flared Palazzo Pants,bottom,data\images\bottoms-20251116T220814Z-1-001\bottoms\Airi_Floral_Chintz_Assymetrical_Flared_Palazzo_Pants_Airi_Floral_Chintz_Assymetrical_Flared_Palazzo_Pants.jpg,bottom piece called Airi Floral Chintz Assymetrical Flared Palazzo Pants Airi Floral Chintz Assymetrical Flared Palazzo Pants
cb32e1cd-d05d-427d-a4b3-30909a7ee801,Airi Floral Chintz Narrow Fit Pants Airi Floral Chintz Narrow Fit Pants,bottom,data\images\bottoms-20251116T220814Z-1-001\bottoms\Airi_Floral_Chintz_Narrow_Fit_Pants_Airi_Floral_Chintz_Narrow_Fit_Pants.jpg,bottom piece called Airi Floral Chintz Narrow Fit Pants Airi Floral Chintz Narrow Fit Pants
9be946ba-0696-4408-805c-00d5e8d32292,Ajrakh Printed Red Cotton Pant Ajrakh Printed Red Cotton Pant,bottom,data\images\bottoms-20251116T220814Z-1-001\bottoms\Ajrakh_Printed_Red_Cotton_Pant_Ajrakh_Printed_Red_Cotton_Pant.jpg,bottom piece called Ajrakh Printed Red Cotton Pant Ajrakh Printed Red Cotton Pant
87c0818b-0a05-4c2c-a9a1-4aee4c92953c,Ajrakh Printed White & Red Cotton Pant Ajrakh Printed White & Red Cotton Pant,bottom,data\images\bottoms-20251116T220814Z-1-001\bottoms\Ajrakh_Printed_White_&_Red_Cotton_Pant_Ajrakh_Printed_White_&_Red_Cotton_Pant.jpg,bottom piece called Ajrakh Printed White & Red Cotton Pant Ajrakh Printed White & Red Cotton Pant
436d7d0d-e850-44b6-91b1-fb0f51804c5d,Amala Organza Lehanga Skirt Amala Organza Lehanga Skirt,bottom,data\images\bottoms-20251116T220814Z-1-001\bottoms\Amala_Organza_Lehanga_Skirt_Amala_Organza_Lehanga_Skirt.jpg,bottom piece called Amala Organza Lehanga Skirt Amala Organza Lehanga Skirt
3d52a8aa-056a-459b-abdd-5fabed433ced,"Asymmetrical Neck Ruched Short Sleeve Off Back View Of A Plus Size Off White Asymmetrical Top With One Shoulder And Ruched Short Sleeve, Desig",bottom,"data\images\bottoms-20251116T220814Z-1-001\bottoms\Asymmetrical_Neck_Ruched_Short_Sleeve_Off_Back_view_of_a_Plus_size_Off-White_asymmetrical_top_with_one_shoulder_and_ruched_short_sleeve,_desig.jpg","bottom piece called Asymmetrical Neck Ruched Short Sleeve Off Back View Of A Plus Size Off White Asymmetrical Top With One Shoulder And Ruched Short Sleeve, Desig"
787c9d55-0d07-4f1f-8e8b-36a0a582b075,Bambai Bottoms Bambai Bottoms,bottom,data\images\bottoms-20251116T220814Z-1-001\bottoms\BAMBAI_BOTTOMS_BAMBAI_BOTTOMS.webp,bottom piece called Bambai Bottoms Bambai Bottoms
b2da5f25-7241-4cc2-b36d-3f9d38720ace,Basic Round Neck Short Sleeve Slim Fit French Vanilla Top Image 10,bottom,data\images\bottoms-20251116T220814Z-1-001\bottoms\Basic_Round_Neck_Short_Sleeve_Slim_Fit_French_Vanilla_Top_image_10.webp,bottom piece called Basic Round Neck Short Sleeve Slim Fit French Vanilla Top Image 10
bb1ea2e7-d80b-40d4-b0d3-7a8ee0efd301,Basic Short Sleeve Slim Fit Prism Pink Top Basic Round Neck Short Sleeve Slim Fit French Vanilla Top,bottom,data\images\bottoms-20251116T220814Z-1-001\bottoms\Basic_Short_Sleeve_Slim_Fit_Prism_Pink_Top_Basic_Round_Neck_Short_Sleeve_Slim_Fit_French_Vanilla_Top.webp,bottom piece called Basic Short Sleeve Slim Fit Prism Pink Top Basic Round Neck Short Sleeve Slim Fit French Vanilla Top
77c2da74-4d95-4804-882b-5e0725a5d5bf,Beige Cotton Pant Beige Cotton Pant,bottom,data\images\bottoms-20251116T220814Z-1-001\bottoms\Beige_Cotton_Pant_Beige_Cotton_Pant.jpg,bottom piece called Beige Cotton Pant Beige Cotton Pant
374ed0f5-ced6-467f-a4bd-073ce07d8c15,Beige High Waist Cotton Flared Pants Beige High Waist Cotton Flared Pants,bottom,data\images\bottoms-20251116T220814Z-1-001\bottoms\Beige_High_Waist_Cotton_Flared_Pants_Beige_High_Waist_Cotton_Flared_Pants.jpg,bottom piece called Beige High Waist Cotton Flared Pants Beige High Waist Cotton Flared Pants
3676fba3-82b2-49af-aebb-f87c4b3d3730,Beige Plain Rayon Straight Pants Beige Plain Rayon Straight Pants,bottom,data\images\bottoms-20251116T220814Z-1-001\bottoms\Beige_Plain_Rayon_Straight_Pants_Beige_Plain_Rayon_Straight_Pants.jpg,bottom piece called Beige Plain Rayon Straight Pants Beige Plain Rayon Straight Pants
